Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.015582628267028746,1.0525403745372781,0.1397541553854513,0.006681046608114618,-1.0525403745372781,0.1397541553854513
ENSG00000241860,AL627309.5,0.0004869571333446483,-0.3848649377700202,1.0,0.0,0.3848649377700202,1.0
ENSG00000286448,AP006222.2,0.0017043499667062693,0.030172561508823748,1.0,0.0009544352297306597,-0.030172561508823748,1.0
ENSG00000229905,AL669831.2,0.0004869571333446483,-1.3848649377700202,0.6114282255990843,0.0009544352297306597,1.3848649377700202,0.6114282255990843
ENSG00000237491,LINC01409,0.030678299400712844,0.43389474755983315,0.4971160480038716,0.021952010283805175,-0.43389474755983315,0.4971160480038716
ENSG00000228794,LINC01128,0.05624354890130688,-0.19930928461394437,0.7144249951893559,0.06394716039195421,0.19930928461394437,0.7144249951893559
ENSG00000225880,LINC00115,0.01923480676711361,0.5447457343385809,0.6746087743153774,0.012407657986498576,-0.5447457343385809,0.6746087743153774
ENSG00000230368,FAM41C,0.009982621233565291,-0.03694163434971287,1.0,0.009544352297306597,0.03694163434971287,1.0
ENSG00000230699,AL645608.2,0.0004869571333446483,-0.3848649377700202,1.0,0.0,0.3848649377700202,1.0
ENSG00000241180,AL645608.4,0.00024347856667232415,-0.9698274384911763,1.0,0.0,0.9698274384911763,1.0
ENSG00000223764,LINC02593,0.07499139853507585,0.6577793996384731,0.12771581964472137,0.04676732625680233,-0.6577793996384731,0.12771581964472137
ENSG00000187634,SAMD11,0.2622264163060931,0.7823859293739666,0.014451057494808907,0.1517552015271749,-0.7823859293739666,0.014451057494808907
ENSG00000188976,NOC2L,0.582157252913527,0.13005292387774092,0.8354687974165649,0.5316204229599775,-0.13005292387774092,0.8354687974165649
ENSG00000187961,KLHL17,0.12855668320298716,-0.010166367627490569,1.0,0.12884875601363907,0.010166367627490569,1.0
ENSG00000187583,PLEKHN1,0.03749569926753792,0.6058572486419687,0.26181019873635003,0.023860880743266494,-0.6058572486419687,0.26181019873635003
ENSG00000187642,PERM1,0.028243513733989603,1.3155747803710724,0.02034336598154514,0.010498787527037257,-1.3155747803710724,0.02034336598154514
ENSG00000272512,AL645608.7,0.034817435034142356,-0.0478299504924502,1.0,0.03531410350003441,0.0478299504924502,1.0
ENSG00000188290,HES4,1.5161410346685626,0.35976531844725884,0.27514236290983135,1.1815908144065568,-0.35976531844725884,0.27514236291001104
ENSG00000187608,ISG15,12.875877041332519,-0.6650787650966214,0.007316890863342327,20.430640527614504,0.6650787650966214,0.00731689086334221
ENSG00000188157,AGRN,0.3839656996422552,0.3276245643999789,0.3924297451593096,0.3054192735138111,-0.3276245643999789,0.3924297451593096
ENSG00000237330,RNF223,0.03286960650076376,0.8697078893155767,0.1101533968791855,0.017179834135151874,-0.8697078893155767,0.1101533968791855
ENSG00000131591,C1orf159,0.168243689570576,0.11607263491447029,0.9168295929649566,0.15461850721636688,-0.11607263491447029,0.9168295929649566
ENSG00000285812,AL390719.3,0.00024347856667232415,-0.9698274384911763,1.0,0.0,0.9698274384911763,1.0
ENSG00000223823,LINC01342,0.022400028133853823,1.7619764505592501,0.0062225452224621,0.005726611378383958,-1.7619764505592501,0.0062225452224621
ENSG00000272141,AL390719.2,0.1178436262694049,1.4284515425263007,6.454959102762755e-05,0.04294958533787969,-1.4284515425263007,6.454959102762755e-05
ENSG00000162571,TTLL10,0.001217392833361621,0.6151350622299798,0.8091738161034547,0.0,-0.6151350622299798,0.8091738161034547
ENSG00000186891,TNFRSF18,0.31019169394054097,-0.6563609223520104,0.012536822798280412,0.4886708376220978,0.6563609223520104,0.012536822798280412
ENSG00000186827,TNFRSF4,0.177252396537452,-1.7546731830558666,9.500699517199074e-15,0.5984308890411236,1.7546731830558666,9.500699517199074e-15
ENSG00000078808,SDF4,1.0481752295243556,-0.4251718403843391,0.13035966314922204,1.4077919638527232,0.4251718403843391,0.13035966314922204
ENSG00000176022,B3GALT6,0.2882786229400318,0.11672259346525737,0.8876517297756042,0.2653329938651234,-0.11672259346525737,0.8876517297756042
ENSG00000184163,C1QTNF12,0.012173928333616208,-0.6193301914070437,0.41567922290760045,0.018134269364882535,0.6193301914070437,0.41567922290760045
ENSG00000260179,AL162741.1,0.0004869571333446483,-1.9698274384911763,0.3891751826251847,0.0019088704594613195,1.9698274384911763,0.3891751826251847
ENSG00000160087,UBE2J2,0.4365570700434772,-0.1636782791789695,0.6429932160447599,0.4886708376220978,0.1636782791789695,0.6429932160447599
ENSG00000230415,LINC01786,0.0004869571333446483,-0.3848649377700202,1.0,0.0,0.3848649377700202,1.0
ENSG00000162572,SCNN1D,0.060869641668081044,-0.390601307319165,0.335182257235594,0.07921812406764475,0.390601307319165,0.335182257235594
ENSG00000131584,ACAP3,0.35401783594155933,-0.08507582015190684,0.8575687266134217,0.3750930452841493,0.08507582015190684,0.8575687266134217
ENSG00000169972,PUSL1,0.24055682387225627,0.21844803982345518,0.6341806366778322,0.2061580096218225,-0.21844803982345518,0.6341806366778322
ENSG00000127054,INTS11,0.8120010198522011,-0.08130716086005157,0.8569844314870176,0.8589917067575937,0.08130716086005157,0.8569844314870176
ENSG00000224051,CPTP,0.21133939587157738,-0.6578261835091053,0.015409125955190527,0.33309789517600025,0.6578261835091053,0.015409125955190527
ENSG00000169962,TAS1R3,0.010956535500254588,-1.7681935773215258,0.00021133688659302755,0.03722297395949573,1.7681935773215258,0.00021133688659302755
ENSG00000107404,DVL1,0.4039309421093858,0.030172561508823303,1.0,0.39513618510849313,-0.030172561508823303,1.0
ENSG00000162576,MXRA8,1.0790970074917408,-0.7490613221864754,0.0024006338909613473,1.8143813717179842,0.7490613221864754,0.002400633890961927
ENSG00000175756,AURKAIP1,1.822193592975674,-0.28677412667426394,0.3608658789240346,2.223834085272437,0.28677412667426394,0.3608658789240346
ENSG00000221978,CCNL2,0.8400010550195184,0.09122780077306414,0.9435684145846348,0.788363499757525,-0.09122780077306414,0.9435684145846348
ENSG00000224870,MRPL20-AS1,0.1490088828034624,0.1100067351846703,0.9184879036314942,0.137438673081215,-0.1100067351846703,0.9184879036314942
ENSG00000242485,MRPL20,1.3267147097974943,0.30394127588825326,0.3891751826251847,1.0746940686767228,-0.30394127588825326,0.3891751826251847
ENSG00000272455,AL391244.2,0.014852192567011775,0.662440777008336,0.38653329029919753,0.008589917067575937,-0.662440777008336,0.38653329029919753
ENSG00000235098,ANKRD65,0.04577397053439694,-0.9311469703271165,0.01336834868240771,0.08685360590549003,0.9311469703271165,0.01336834868240771
ENSG00000225905,AL391244.1,0.0,-2.9698274384911763,0.3924297451593096,0.0009544352297306597,2.9698274384911763,0.3924297451593096
ENSG00000225285,LINC01770,0.019721763900458256,1.580369644069303,0.016645468888311584,0.005726611378383958,-1.580369644069303,0.016645468888311584
ENSG00000179403,VWA1,1.7033760524395798,0.08159414911639395,0.9297129958803804,1.6101322325556229,-0.08159414911639395,0.9297129958803941
ENSG00000215915,ATAD3C,0.04504353483437997,0.17701394983809404,0.9049019562025925,0.03913184441895705,-0.17701394983809404,0.9049019562025925
ENSG00000160072,ATAD3B,0.25540901643926806,-0.20044036663259335,0.5789210509268771,0.29301161552731253,0.20044036663259335,0.5789210509268771
ENSG00000197785,ATAD3A,0.34695695750806194,-0.0770316727684448,0.8854249714594442,0.36554869298684267,0.0770316727684448,0.8854249714594442
ENSG00000205090,TMEM240,0.023130463833870796,0.1557034435926825,0.9000386526917142,0.020043139824343855,-0.1557034435926825,0.9000386526917142
ENSG00000160075,SSU72,1.2008362908279029,0.1550389195134953,0.7326689145771856,1.0785118095956454,-0.1550389195134953,0.7326689145771856
ENSG00000215014,AL645728.1,0.004139135633429511,-0.3848649377700202,0.979610366320706,0.004772176148653298,0.3848649377700202,0.979610366320706
ENSG00000228594,FNDC10,0.33940912194121986,0.037430115647112405,1.0,0.3302345894868083,-0.037430115647112405,1.0
ENSG00000286989,AL691432.4,0.010469578366909938,0.48960418014612106,0.6426842974340965,0.006681046608114618,-0.48960418014612106,0.6426842974340965
ENSG00000272106,AL691432.2,0.025321770933921715,0.4964905657313601,0.41881978639449835,0.017179834135151874,-0.4964905657313601,0.41881978639449835
ENSG00000197530,MIB2,0.24810465943909832,-0.5938595038909253,0.032268930331763174,0.3741386100544186,0.5938595038909253,0.032268930331763174
ENSG00000189409,MMP23B,0.03749569926753792,-1.636217538556179,7.985987644858113e-08,0.11644109802714049,1.636217538556179,7.985987644858113e-08
ENSG00000248333,CDK11B,0.02045219960047523,-1.2883569569166742,0.001085244791151393,0.049630631945994305,1.2883569569166742,0.001085244791151393
ENSG00000272004,FO704657.1,0.018260892500424314,0.6931375742312529,0.34270421608146934,0.010498787527037257,-0.6931375742312529,0.34270421608146934
ENSG00000189339,SLC35E2B,0.36935698564191577,0.5266662743676653,0.1131957625655893,0.25578864156781683,-0.5266662743676653,0.1131957625655893
