pathway,correlation,pval_corr,pval_mw,mean_high,mean_low,fold_change,qval,significant,abs_corr
Reactome_REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,-0.2860026413524321,2.5803457287271268e-92,1.3645143275131698e-88,0.22490856108709945,0.281078416538809,0.8001630429565406,2.7351664724507547e-90,True,0.2860026413524321
Reactome_REACTOME_METABOLISM_OF_RNA,0.2818874486411717,1.2717317752561398e-89,4.088785970877134e-86,0.6664050106614625,0.6252602204065708,1.0658042666270016,6.740178408857541e-88,True,0.2818874486411717
Reactome_REACTOME_GLUCOSE_METABOLISM,0.2465835715182686,2.332717832391982e-68,2.4617421787805145e-66,0.3827464835977814,0.3420969216997946,1.118824693586862,8.24226967445167e-67,True,0.2465835715182686
Reactome_REACTOME_METABOLISM_OF_NUCLEOTIDES,0.2427432330571333,3.0698549836983e-66,2.423499678323961e-64,0.3792479537847165,0.3436460006225873,1.1036006620115721,8.135115706800495e-65,True,0.2427432330571333
Reactome_REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,0.23503641843508308,4.247510799021923e-62,1.952826425569308e-60,0.33307567319720627,0.2871204315901437,1.1600556301498681,9.004722893926475e-61,True,0.23503641843508308
Reactome_REACTOME_METABOLISM_OF_POLYAMINES,0.22930453244051185,4.092033632052867e-59,1.3024334935500398e-57,0.7099849442604765,0.639345998452156,1.1104862562358035,7.229259416626731e-58,True,0.22930453244051185
Reactome_REACTOME_METABOLISM_OF_STEROIDS,0.20654276066864896,4.634527288468181e-48,4.4322161672140355e-47,0.24791874244248152,0.22358502021355234,1.1088343137017291,7.017998465394675e-47,True,0.20654276066864896
Reactome_REACTOME_TP53_REGULATES_METABOLIC_GENES,0.2057177644506788,1.1044058220582006e-47,1.018279574894303e-46,0.7464388843056697,0.7066272437823409,1.0563403702215477,1.4109435351599976e-46,True,0.2057177644506788
Reactome_REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.20564032062797105,1.1979709260792432e-47,1.1007895540691695e-46,0.9324871076253082,0.90458730537577,1.0308425754857884,1.4109435351599976e-46,True,0.20564032062797105
Reactome_REACTOME_GLUCONEOGENESIS,0.2050067421809003,2.3272639641686914e-47,2.0799727129826923e-46,0.6999773413352506,0.6376761101297742,1.0977004316388728,2.4668998020188127e-46,True,0.2050067421809003
Reactome_REACTOME_REGULATION_OF_GLYCOLYSIS_BY_FRUCTOSE_2_6_BISPHOSPHATE_METABOLISM,0.1994284864601244,7.323156132220921e-45,5.184670264526108e-44,0.34944923016557106,0.2906117329880904,1.2024608455154557,7.056859545594705e-44,True,0.1994284864601244
Reactome_REACTOME_METABOLISM_OF_COFACTORS,0.19643065223687517,1.501556453098601e-43,9.455410218563857e-43,0.35917210172062447,0.32076285515728953,1.1197434364540138,1.3263748669037642e-42,True,0.19643065223687517
KEGG_KEGG_MEDICUS_REFERENCE_GLYCOLYSIS,0.18352089445306624,3.8374632163250387e-38,1.5484661578711405e-37,0.819459061444125,0.7534476231704312,1.0876125111337192,3.129008468695801e-37,True,0.18352089445306624
Reactome_REACTOME_METABOLISM_OF_LIPIDS,0.17980899589596447,1.1662247164011575e-36,4.209999092405052e-36,0.22031643562695152,0.20464874037659136,1.0765589625498242,8.829987138465906e-36,True,0.17980899589596447
Reactome_REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,0.17365831797719533,2.841069833164351e-34,8.6565869293854e-34,0.18911375585250614,0.1625980911782341,1.1630748828730502,2.0076893487694747e-33,True,0.17365831797719533
