Module,Module_Num,N_Genes,Genes,All_Genes,Correlation,Q_value,Fold_Change,Direction,Inferred_Pathway,Pathway_Confidence
M_157,157,3,"RRM1, RRM2, RRM2B","['RRM1', 'RRM2', 'RRM2B']",0.2842818548150468,2.7595255034178506e-89,1.0008909163396935,UP,Unknown,0.0
M_135,135,18,"ATIC, CANT1, ENTPD1, ENTPD3, ENTPD4...","['ATIC', 'CANT1', 'ENTPD1', 'ENTPD3', 'ENTPD4', 'ENTPD5', 'ENTPD6', 'ENTPD8', 'NME1', 'NME1-NME2', 'NME2', 'NME3', 'NME4', 'NME5', 'NME6', 'NME7', 'NUDT16', 'NUDT5']",0.2605290189167926,8.969151688117064e-75,1.0619715920689998,UP,Purine_Metabolism,1.0
M_2,2,10,"ALDOA, ALDOB, ALDOC, FBP1, FBP2...","['ALDOA', 'ALDOB', 'ALDOC', 'FBP1', 'FBP2', 'GPI', 'PFKL', 'PFKM', 'PFKP', 'TPI1']",0.2590666544456619,4.36771259487664e-74,1.21553890542524,UP,Glycolysis,8.0
M_92,92,1,SLC1A5,['SLC1A5'],-0.2539964258704547,2.929446717782841e-71,0.9891481173257728,DOWN,Unknown,0.0
M_123,123,3,"MGAT4A, MGAT4B, MGAT4C","['MGAT4A', 'MGAT4B', 'MGAT4C']",0.2444506548871127,5.599530739058188e-66,1.0020906658158764,UP,Unknown,0.0
M_8,8,7,"ACO1, ACO2, IDH1, IDH2, IDH3A...","['ACO1', 'ACO2', 'IDH1', 'IDH2', 'IDH3A', 'IDH3B', 'IDH3G']",0.2384879518387818,8.155161713080338e-63,1.0053620631198354,UP,TCA_Cycle,5.0
M_57,57,9,"FAH, GOT1, GOT2, GSTZ1, HGD...","['FAH', 'GOT1', 'GOT2', 'GSTZ1', 'HGD', 'HPD', 'IL4I1', 'MIF', 'TAT']",0.2363024602428862,1.024702542021645e-61,inf,UP,Amino_Acid_Metabolism,2.0
M_47,47,9,"ACACA, ACACB, ACADS, ACOX1, ACOX3...","['ACACA', 'ACACB', 'ACADS', 'ACOX1', 'ACOX3', 'ECHS1', 'EHHADH', 'HADHA', 'MLYCD']",-0.2317719442798547,2.147947989267053e-59,0.9771760810442364,DOWN,Fatty_Acid_Oxidation,4.0
M_75,75,2,"SLC13A3, SLC25A10","['SLC13A3', 'SLC25A10']",0.2313314824902479,3.232072738383148e-59,inf,UP,Unknown,0.0
M_132,132,5,"EXT1, EXT2, EXTL1, EXTL2, EXTL3","['EXT1', 'EXT2', 'EXTL1', 'EXTL2', 'EXTL3']",0.2201548176406684,1.1567495244840198e-53,1.0006695015883869,UP,Unknown,0.0
M_19,19,2,"GAMT, GATM","['GAMT', 'GATM']",0.2203423830517572,1.029186054679685e-53,inf,UP,Unknown,0.0
M_6,6,6,"LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC...","['LDHA', 'LDHAL6A', 'LDHAL6B', 'LDHB', 'LDHC', 'LDHD']",0.216044683955529,1.0543325035336968e-51,1.0943596278707557,UP,Glycolysis,4.0
M_151,151,1,UMPS,['UMPS'],-0.2125071087030855,4.390141101087359e-50,0.9099128917647612,DOWN,Pyrimidine_Metabolism,1.0
M_150,150,1,UMPS,['UMPS'],-0.2125226748413557,4.390141101087359e-50,0.99674385909379,DOWN,Pyrimidine_Metabolism,1.0
M_67,67,6,"OAT, PRODH, PRODH2, PYCR1, PYCR2...","['OAT', 'PRODH', 'PRODH2', 'PYCR1', 'PYCR2', 'PYCR3']",0.2080632929214871,4.8775537146724664e-48,inf,UP,Unknown,0.0
M_161,161,8,"NME1, NME1-NME2, NME2, NME3, NME4...","['NME1', 'NME1-NME2', 'NME2', 'NME3', 'NME4', 'NME5', 'NME6', 'NME7']",0.2076943380986746,6.766689756669147e-48,inf,UP,Unknown,0.0
M_100,100,3,"SLC25A29, SLC7A1, SLC7A2","['SLC25A29', 'SLC7A1', 'SLC7A2']",0.2052734282285729,8.1798931211556705e-47,inf,UP,Unknown,0.0
M_107,107,10,"AMDHD2, GFPT1, GFPT2, GNPDA1, GNPDA2...","['AMDHD2', 'GFPT1', 'GFPT2', 'GNPDA1', 'GNPDA2', 'GNPNAT1', 'GPI', 'PGM3', 'UAP1', 'UAP1L1']",0.2022212882834371,1.843929637160355e-45,inf,UP,Glycolysis,1.0
M_153,153,19,"CANT1, CMPK1, CMPK2, CTPS1, CTPS2...","['CANT1', 'CMPK1', 'CMPK2', 'CTPS1', 'CTPS2', 'ENTPD1', 'ENTPD3', 'ENTPD4', 'ENTPD5', 'ENTPD6', 'ENTPD8', 'NME1', 'NME1-NME2', 'NME2', 'NME3', 'NME4', 'NME5', 'NME6', 'NME7']",0.1983090478425069,9.460746898405624e-44,inf,UP,Pyrimidine_Metabolism,2.0
M_159,159,10,"DCK, NT5C, NT5C1A, NT5C1B, NT5C1B-RDH14...","['DCK', 'NT5C', 'NT5C1A', 'NT5C1B', 'NT5C1B-RDH14', 'NT5C2', 'NT5C3A', 'NT5C3B', 'NT5E', 'NT5M']",0.1938489388836819,7.688801532927136e-42,1.0005404406827736,UP,Unknown,0.0
