collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
GO,Apoptotic Nuclear Changes (GO:0030262),GO_Apoptotic Nuclear Changes (GO:0030262),16,4,0.25,0.12520708,0.021214766,0.4504412343919214,0.0,0.0,True,0.4504412343919214
KEGG,Pertussis,KEGG_Pertussis,76,27,0.35526315789473684,0.40163437,0.042746432,-0.33975816443731505,0.0,0.0,True,0.33975816443731505
KEGG,Chagas disease,KEGG_Chagas disease,102,40,0.39215686274509803,0.25043455,0.020915374,-0.33572631835661976,0.0,0.0,True,0.33572631835661976
GO,Neuron Maturation (GO:0042551),GO_Neuron Maturation (GO:0042551),17,4,0.23529411764705882,0.58933824,0.15009584,-0.3342844329791856,0.0,0.0,True,0.3342844329791856
KEGG,Leishmaniasis,KEGG_Leishmaniasis,77,25,0.3246753246753247,0.26136792,0.021470368,-0.3336548272181205,0.0,0.0,True,0.3336548272181205
GO,Neuron Remodeling (GO:0016322),GO_Neuron Remodeling (GO:0016322),9,3,0.3333333333333333,0.77589583,0.25996113,-0.3308835718917827,0.0,0.0,True,0.3308835718917827
GO,Positive Regulation Of Endocytosis (GO:0045807),GO_Positive Regulation Of Endocytosis (GO:0045807),79,34,0.43037974683544306,0.20772442,0.01574382,-0.32830663085766143,0.0,0.0,True,0.32830663085766143
KEGG,Complement and coagulation cascades,KEGG_Complement and coagulation cascades,85,36,0.4235294117647059,0.3310815,0.024572771,-0.3231284866736052,0.0,0.0,True,0.3231284866736052
Reactome,Creation Of C4 And C2 Activators R-HSA-166786,Reactome_Creation Of C4 And C2 Activators R-HSA-166786,14,7,0.5,0.6801371,0.1821439,-0.32196005630446256,0.0,0.0,True,0.32196005630446256
Reactome,Classical Antibody-Mediated Complement Activation R-HSA-173623,Reactome_Classical Antibody-Mediated Complement Activation R-HSA-173623,6,5,0.8333333333333334,0.9464428,0.35480213,-0.3214275366827882,0.0,0.0,True,0.3214275366827882
GO,Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),GO_Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),43,15,0.3488372093023256,0.24340537,0.037287895,-0.31802689128479394,0.0,0.0,True,0.31802689128479394
GO,Endocytosis (GO:0006897),GO_Endocytosis (GO:0006897),189,46,0.24338624338624337,0.1876798,0.015597315,-0.3122583162712208,0.0,0.0,True,0.3122583162712208
KEGG,Osteoclast differentiation,KEGG_Osteoclast differentiation,127,44,0.3464566929133858,0.23139343,0.019218726,-0.31194590752411605,0.0,0.0,True,0.31194590752411605
GO,Synapse Pruning (GO:0098883),GO_Synapse Pruning (GO:0098883),8,8,1.0,0.45855263,0.08191517,-0.30936073968633754,0.0,0.0,True,0.30936073968633754
KEGG,Phagosome,KEGG_Phagosome,152,33,0.21710526315789475,0.28285196,0.029939756,-0.305296355097898,0.0,0.0,True,0.305296355097898
Reactome,Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424,Reactome_Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424,25,13,0.52,0.22011666,0.026767982,-0.301514942608027,0.0,0.0,True,0.301514942608027
MSigDB,Coagulation,MSigDB_Coagulation,138,43,0.3115942028985507,0.28847554,0.019780258,-0.2998971445453387,3.0009506228807143e-307,2.69909029552036e-305,True,0.2998971445453387
Reactome,Initial Triggering Of Complement R-HSA-166663,Reactome_Initial Triggering Of Complement R-HSA-166663,21,10,0.47619047619047616,0.71610373,0.13848875,-0.29968839164725036,8.364381908975899e-307,7.105077743791194e-305,True,0.29968839164725036
GO,Regulation Of Neuron Death (GO:1901214),GO_Regulation Of Neuron Death (GO:1901214),58,16,0.27586206896551724,0.30715948,0.032926325,-0.29967247521233265,9.044012659128087e-307,7.278050187266761e-305,True,0.29967247521233265
GO,Positive Regulation Of Phagocytosis (GO:0050766),GO_Positive Regulation Of Phagocytosis (GO:0050766),60,27,0.45,0.22217909,0.019968282,-0.2980939475881019,2.0438106709419117e-303,1.5624932579350916e-301,True,0.2980939475881019
