collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
GO,Apoptotic Nuclear Changes (GO:0030262),GO_Apoptotic Nuclear Changes (GO:0030262),16,4,0.25,0.105755515,0.019801013,0.4128482636987797,0.0,0.0,True,0.4128482636987797
GO,Endocytosis (GO:0006897),GO_Endocytosis (GO:0006897),189,44,0.2328042328042328,0.19169828,0.017740631,-0.26289947211316667,4.2983572706644304e-225,3.127054914408373e-222,True,0.26289947211316667
KEGG,Pertussis,KEGG_Pertussis,76,26,0.34210526315789475,0.34127936,0.05291138,-0.2568156993217529,1.5500781207588403e-214,7.517878885680375e-212,True,0.2568156993217529
GO,Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),GO_Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),17,6,0.35294117647058826,0.12881896,0.022143822,0.25105196068636515,8.564841746405874e-205,3.1154611852551363e-202,True,0.25105196068636515
GO,Neuron Maturation (GO:0042551),GO_Neuron Maturation (GO:0042551),17,4,0.23529411764705882,0.5021534,0.13369273,-0.2500060258430663,4.7182566691221387e-203,1.3730126907145423e-200,True,0.2500060258430663
KEGG,Leishmaniasis,KEGG_Leishmaniasis,77,23,0.2987012987012987,0.26385084,0.027683657,-0.2497129863789949,1.4457732523564502e-202,3.5060001369643915e-200,True,0.2497129863789949
GO,Positive Regulation Of Endocytosis (GO:0045807),GO_Positive Regulation Of Endocytosis (GO:0045807),79,32,0.4050632911392405,0.20312142,0.018738909,-0.24685364113498665,7.439997151187943e-198,1.546456550711208e-195,True,0.24685364113498665
Reactome,Classical Antibody-Mediated Complement Activation R-HSA-173623,Reactome_Classical Antibody-Mediated Complement Activation R-HSA-173623,6,5,0.8333333333333334,0.8028605,0.36139643,-0.24675834633543356,1.0654674697906138e-197,1.9378189606816787e-195,True,0.24675834633543356
GO,Neuron Remodeling (GO:0016322),GO_Neuron Remodeling (GO:0016322),9,3,0.3333333333333333,0.6606251,0.23209862,-0.24648188153793543,3.0174592249911807e-197,4.878225747069076e-195,True,0.24648188153793543
Reactome,Creation Of C4 And C2 Activators R-HSA-166786,Reactome_Creation Of C4 And C2 Activators R-HSA-166786,14,7,0.5,0.5776126,0.18592946,-0.2463976835108467,4.142060701616625e-197,6.0266983208521894e-195,True,0.2463976835108467
KEGG,Chagas disease,KEGG_Chagas disease,102,38,0.37254901960784315,0.23584644,0.026381174,-0.24535898493255517,2.041919983191061e-195,2.700903250493631e-193,True,0.24535898493255517
GO,Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),GO_Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),83,22,0.26506024096385544,0.17936075,0.016009543,-0.24184342200862108,9.547528214670247e-190,1.1576377960287674e-187,True,0.24184342200862108
KEGG,Phagosome,KEGG_Phagosome,152,33,0.21710526315789475,0.26674795,0.030905392,-0.24105102776045748,1.758613998365931e-188,1.9682948981710998e-186,True,0.24105102776045748
GO,Hemopoiesis (GO:0030097),GO_Hemopoiesis (GO:0030097),101,36,0.3564356435643564,0.20272474,0.016781246,-0.24071254754728835,6.084573971999181e-188,6.323610806613434e-186,True,0.24071254754728835
KEGG,Osteoclast differentiation,KEGG_Osteoclast differentiation,127,43,0.33858267716535434,0.21230292,0.024158617,-0.23769587149606192,3.557226639569479e-183,3.450509840382395e-181,True,0.23769587149606192
Reactome,Integrin Cell Surface Interactions R-HSA-216083,Reactome_Integrin Cell Surface Interactions R-HSA-216083,66,25,0.3787878787878788,0.23093611,0.017772648,-0.23487178806819636,8.970749709412446e-179,8.157775516996942e-177,True,0.23487178806819636
GO,Synapse Pruning (GO:0098883),GO_Synapse Pruning (GO:0098883),8,8,1.0,0.39848846,0.0795555,-0.23303236057604967,6.1419645004803624e-176,5.25679902835231e-174,True,0.23303236057604967
GO,Positive Regulation Of Phagocytosis (GO:0050766),GO_Positive Regulation Of Phagocytosis (GO:0050766),60,26,0.43333333333333335,0.21187057,0.022369029,-0.23242667595328914,5.206463463654591e-175,4.2085579664541276e-173,True,0.23242667595328914
GO,Phagocytosis (GO:0006909),GO_Phagocytosis (GO:0006909),69,29,0.42028985507246375,0.2334161,0.028940005,-0.23217585833412285,1.2593440321261139e-174,9.643924035492083e-173,True,0.23217585833412285
KEGG,Complement and coagulation cascades,KEGG_Complement and coagulation cascades,85,34,0.4,0.3214881,0.0295696,-0.2316684250314433,7.495622488895994e-174,5.453065360671836e-172,True,0.2316684250314433
