gene,n_patients
CCL14,6
LCN10,6
RASGRP2,6
THSD7A,6
FCRL2,6
CCN3,6
CAVIN2,6
ITIH3,6
STEAP4,6
TDRD10,6
CLDN5,6
DPP4,6
OGN,6
IL33,6
HBA2,6
ADIPOQ,6
CCL19,6
FOLR2,6
ADAM33,6
ATOH8,6
SELP,6
NPR1,6
FAM13C,6
TNXB,6
LILRB5,6
PHYHIP,6
ROR1,6
SFRP1,6
HIF3A,6
CCL21,6
CCR7,6
FGF18,6
IL17B,6
GREM2,6
HSPB6,6
HTR2B,6
IQSEC3,6
CRISPLD1,6
MASP1,6
CHIT1,6
PI16,6
MMRN1,6
MS4A1,6
NIBAN3,6
MMP7,6
IGHA2,6
ACSM5,6
INMT,6
FOSL1,6
SCG2,6
CLEC10A,6
S100A2,6
FAM180A,6
ITIH5,6
CSRNP3,6
KRT14,6
BMX,6
PRDM8,6
FABP4,6
C7,6
GJA5,6
CHI3L1,6
ACTG2,6
TBX5,6
HSPB2,6
FLNC,6
PTX3,6
KRT5,6
CD209,6
FDCSP,6
SV2B,6
SCN3B,6
BLK,6
IGF1,6
ACKR1,6
PNMA8B,6
PLP1,6
NRN1,6
CHRDL2,6
FMO2,6
ATP1A2,6
CR1,6
ITGA7,6
SHISAL1,6
ISM1,6
RELN,6
SEC14L6,6
MRGPRF,6
SPIB,6
GDF10,6
PAPPA,6
GPIHBP1,5
TPBGL,5
CD27,5
FST,5
DTHD1,5
S100B,5
HAND2,5
TNNT3,5
JPH4,5
HMCN2,5
SNAP25,5
IGLC1,5
WNT11,5
FAM177B,5
CRYAB,5
TWIST2,5
APOBEC3A,5
TMEM100,5
LCN6,5
CD6,5
PRDM16,5
IGHA1,5
DHRS9,5
SFRP4,5
FAM107A,5
PI15,5
FGF7,5
EBF1,5
CD19,5
MEOX2,5
IRF4,5
GPD1,5
IL6,5
HSPB7,5
HDC,5
LCNL1,5
NTNG2,5
CYTL1,5
KRT17,5
ARHGAP28,5
RAB3C,5
AGTR1,5
LIMS2,5
JCHAIN,5
NR2F1,5
BMPER,5
ECSCR,5
SEMA3D,5
LAX1,5
KLHL30,5
CD200R1,5
SCN2B,5
FUT7,5
TBX18,5
FGF10,5
CCDC80,5
CTSG,5
LRMP,5
TCL1A,5
PENK,5
TMEM255B,5
HBB,5
CAV1,5
KLRB1,5
COL23A1,5
SRL,5
CD3E,5
FMO1,5
CXCL10,5
FOSB,5
LAMA2,5
ABCB5,5
CLEC4C,5
LSAMP,5
PLIN1,5
CRTAC1,5
ADAMTS1,5
IGHG3,5
CADM3,5
CHRDL1,5
KLHL4,5
CPXM2,5
FGF2,5
ADGRG3,5
SOBP,5
VIT,5
ARHGEF15,5
SOD3,5
CCBE1,5
BCL11A,5
RUNX1T1,5
IGHM,5
ELN,5
CXCL9,5
ADAMTS5,5
MMP3,5
STMN2,5
TAL1,5
GZMK,5
DIPK2B,5
CD244,5
KIF17,5
SHE,5
SPNS3,5
SIGLEC6,5
VIPR2,5
TIMD4,5
MARCO,5
FCRL5,5
PCOLCE2,5
CNTNAP3B,5
MALL,5
F13A1,5
SYNDIG1L,5
PAX5,5
GNLY,5
AOC3,5
DNASE1L3,5
CCN5,5
GALNT15,5
CLIP3,5
RERGL,5
LTB,5
EFEMP1,5
CES1,5
PREX2,5
PRG4,5
PTPRB,5
PTPRH,5
IGHD,5
GABRP,5
TLL1,5
TSPAN7,5
GPR146,5
SRPX,5
ALDH1A1,5
PTGDS,5
TACR1,5
FAM110D,5
TNFSF14,5
TMEM150B,5
KCNG2,5
NAP1L3,5
IGLC7,5
CD79A,5
IGFN1,5
MID1,5
STAB2,5
SCN9A,5
MMP23B,5
ADCYAP1,5
KANK3,5
FCRL1,5
ID4,5
MRC1,5
FAM20A,5
BHLHE22,5
CCDC3,5
CCL16,5
SNCB,5
SCARA5,5
PROX1,5
FXYD1,5
TPSD1,5
VWF,5
TRPM6,5
MYH11,5
HS3ST2,5
FCRL3,5
NMNAT2,5
PTGIS,5
FHL5,5
APBA1,5
GPX3,5
KCNJ5,5
SAMD11,5
CD5,5
HRCT1,5
ITGAD,5
ANKRD29,5
CSDC2,5
EOMES,5
AQP7,5
MEOX1,5
LGI4,5
LMOD1,5
ARHGAP15,4
CNTFR,4
CLDN8,4
TRBC2,4
SYN2,4
CYP11A1,4
METTL7B,4
PLXNA4,4
TBC1D10C,4
IL7R,4
FMO3,4
SLC22A3,4
RFLNA,4
LRCOL1,4
HOXA9,4
PIK3R6,4
TMEM273,4
GPR162,4
AOX1,4
TIGIT,4
XG,4
ZNF454,4
S1PR1,4
FAM89A,4
AIM2,4
RSPO1,4
SGCA,4
KHDRBS2,4
TCHH,4
PLA2G2A,4
EVI2B,4
TRIM9,4
CYP46A1,4
