collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
Reactome,G2/M DNA Replication Checkpoint R-HSA-69478,Reactome_G2/M DNA Replication Checkpoint R-HSA-69478,5,5,1.0,0.18576501,0.032114726,0.5374283952220762,0.0,0.0,True,0.5374283952220762
Reactome,Phosphorylation Of Emi1 R-HSA-176417,Reactome_Phosphorylation Of Emi1 R-HSA-176417,6,6,1.0,0.22089675,0.030818967,0.4702035655244718,0.0,0.0,True,0.4702035655244718
MSigDB,Myc Targets V1,MSigDB_Myc Targets V1,200,154,0.77,0.6133707,0.02745659,0.46064885201394384,0.0,0.0,True,0.46064885201394384
Reactome,Condensation Of Prometaphase Chromosomes R-HSA-2514853,Reactome_Condensation Of Prometaphase Chromosomes R-HSA-2514853,10,10,1.0,0.2664545,0.023631932,0.4572930440891751,0.0,0.0,True,0.4572930440891751
Reactome,Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,Reactome_Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,14,13,0.9285714285714286,0.39634365,0.025244188,0.44130050912564883,0.0,0.0,True,0.44130050912564883
Reactome,Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,Reactome_Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,13,12,0.9230769230769231,0.4293846,0.026474755,0.43764817170743503,0.0,0.0,True,0.43764817170743503
Reactome,Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,Reactome_Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,80,69,0.8625,0.57566905,0.020868901,0.4273740340407822,0.0,0.0,True,0.4273740340407822
GO,Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),GO_Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),9,6,0.6666666666666666,0.2954924,0.034657914,0.4238552164955441,0.0,0.0,True,0.4238552164955441
GO,Resolution Of Meiotic Recombination Intermediates (GO:0000712),GO_Resolution Of Meiotic Recombination Intermediates (GO:0000712),14,12,0.8571428571428571,0.2543244,0.018495983,0.42241450009092885,0.0,0.0,True,0.42241450009092885
Reactome,E2F-enabled Inhibition Of Pre-Replication Complex Formation R-HSA-113507,Reactome_E2F-enabled Inhibition Of Pre-Replication Complex Formation R-HSA-113507,9,8,0.8888888888888888,0.16100553,0.019082028,0.42182322720623927,0.0,0.0,True,0.42182322720623927
GO,Positive Regulation Of RNA Biosynthetic Process (GO:1902680),GO_Positive Regulation Of RNA Biosynthetic Process (GO:1902680),9,9,1.0,0.266722,0.021223664,0.4179943947023533,0.0,0.0,True,0.4179943947023533
Reactome,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,Reactome_Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,76,65,0.8552631578947368,0.5935344,0.023301689,0.4178296125380043,0.0,0.0,True,0.4178296125380043
Reactome,Switching Of Origins To A Post-Replicative State R-HSA-69052,Reactome_Switching Of Origins To A Post-Replicative State R-HSA-69052,90,78,0.8666666666666667,0.5437847,0.018715605,0.4177243442208723,0.0,0.0,True,0.4177243442208723
GO,DNA Strand Elongation Involved In DNA Replication (GO:0006271),GO_DNA Strand Elongation Involved In DNA Replication (GO:0006271),12,12,1.0,0.30795482,0.027229102,0.41393076531875544,0.0,0.0,True,0.41393076531875544
Reactome,Mitochondrial Protein Import R-HSA-1268020,Reactome_Mitochondrial Protein Import R-HSA-1268020,65,56,0.8615384615384616,0.4959911,0.021194946,0.4120786162506424,0.0,0.0,True,0.4120786162506424
Reactome,mRNA Splicing - Minor Pathway R-HSA-72165,Reactome_mRNA Splicing - Minor Pathway R-HSA-72165,49,42,0.8571428571428571,0.6203736,0.027547203,0.4092596347451588,0.0,0.0,True,0.4092596347451588
Reactome,Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome_Assembly Of Pre-Replicative Complex R-HSA-68867,110,72,0.6545454545454545,0.5752795,0.020653475,0.4088021444469335,0.0,0.0,True,0.4088021444469335
Reactome,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,Reactome_APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,75,64,0.8533333333333334,0.5996095,0.023744458,0.4082324667632911,0.0,0.0,True,0.4082324667632911
Reactome,Phosphorylation Of APC/C R-HSA-176412,Reactome_Phosphorylation Of APC/C R-HSA-176412,20,17,0.85,0.39414355,0.022879938,0.4030325234466515,0.0,0.0,True,0.4030325234466515
GO,Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051987),GO_Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051987),10,10,1.0,0.37281656,0.024640145,0.4007683631793313,0.0,0.0,True,0.4007683631793313
