collection,pathway,full_name,n_genes_total,n_genes_present,coverage,mean_expression,variance,correlation_with_target,pvalue,qvalue,significant_fdr05,abs_correlation
GO,Resolution Of Meiotic Recombination Intermediates (GO:0000712),GO_Resolution Of Meiotic Recombination Intermediates (GO:0000712),14,3,0.21428571428571427,0.124102734,0.029144924,0.446468290093413,0.0,0.0,True,0.446468290093413
GO,Apoptotic Nuclear Changes (GO:0030262),GO_Apoptotic Nuclear Changes (GO:0030262),16,4,0.25,0.100245975,0.017897742,0.415923288056962,0.0,0.0,True,0.415923288056962
GO,Nuclear Chromosome Segregation (GO:0098813),GO_Nuclear Chromosome Segregation (GO:0098813),16,4,0.25,0.16653974,0.0301846,0.29802731683194705,0.0,0.0,True,0.29802731683194705
GO,Positive Regulation Of Endocytosis (GO:0045807),GO_Positive Regulation Of Endocytosis (GO:0045807),79,41,0.5189873417721519,0.1375078,0.008487744,-0.2657697286772627,4.607081123014318e-268,2.2701392233653052e-265,True,0.2657697286772627
GO,Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),GO_Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),43,19,0.4418604651162791,0.14307858,0.014644954,-0.2647345972500431,6.422910579689757e-266,2.5319113505137025e-263,True,0.2647345972500431
KEGG,Leishmaniasis,KEGG_Leishmaniasis,77,29,0.37662337662337664,0.19787247,0.015470801,-0.26462608577185276,1.0763654749494288e-265,3.535860585208874e-263,True,0.26462608577185276
KEGG,Biosynthesis of unsaturated fatty acids,KEGG_Biosynthesis of unsaturated fatty acids,27,7,0.25925925925925924,0.16990465,0.018862342,0.2617005909072155,1.0900621393644389e-259,3.0693035381247272e-257,True,0.2617005909072155
GO,Neuron Maturation (GO:0042551),GO_Neuron Maturation (GO:0042551),17,6,0.35294117647058826,0.33298054,0.06563402,-0.2597072242456238,1.2180719110996944e-255,3.001024670971872e-253,True,0.2597072242456238
GO,Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),GO_Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),17,7,0.4117647058823529,0.101788014,0.015109415,0.25880417637019826,8.090602963947335e-254,1.7718420491044664e-251,True,0.25880417637019826
GO,Endocytosis (GO:0006897),GO_Endocytosis (GO:0006897),189,49,0.25925925925925924,0.13918042,0.010115268,-0.25852769261090924,2.913820251096407e-253,5.743139714911019e-251,True,0.25852769261090924
KEGG,Chagas disease,KEGG_Chagas disease,102,41,0.4019607843137255,0.19371213,0.018852519,-0.258109408583839,2.0186321247893968e-252,3.6170217435999105e-250,True,0.258109408583839
KEGG,Pertussis,KEGG_Pertussis,76,31,0.40789473684210525,0.27786905,0.02978583,-0.25692911575129,4.6626709886302186e-250,7.658437098825134e-248,True,0.25692911575129
GO,Neuron Remodeling (GO:0016322),GO_Neuron Remodeling (GO:0016322),9,3,0.3333333333333333,0.6556202,0.25445482,-0.25628422186695704,9.012438060344285e-249,1.3664242628414296e-246,True,0.25628422186695704
GO,Regulation Of Cell Motility (GO:2000145),GO_Regulation Of Cell Motility (GO:2000145),123,39,0.3170731707317073,0.097356886,0.0074757463,-0.251765945391054,7.299573008709244e-240,1.0276756000118515e-237,True,0.251765945391054
Reactome,Creation Of C4 And C2 Activators R-HSA-166786,Reactome_Creation Of C4 And C2 Activators R-HSA-166786,14,9,0.6428571428571429,0.42038918,0.09414702,-0.25100968785529,2.1717622142994292e-238,2.85369554958945e-236,True,0.25100968785529
Reactome,Classical Antibody-Mediated Complement Activation R-HSA-173623,Reactome_Classical Antibody-Mediated Complement Activation R-HSA-173623,6,5,0.8333333333333334,0.7487216,0.29818124,-0.2509408780346849,2.9555217607670932e-238,3.640833369044963e-236,True,0.2509408780346849
GO,Unsaturated Fatty Acid Biosynthetic Process (GO:0006636),GO_Unsaturated Fatty Acid Biosynthetic Process (GO:0006636),8,3,0.375,0.3572254,0.081225686,0.24822633856880752,5.209366807069255e-233,6.039801162784414e-231,True,0.24822633856880752
GO,Positive Regulation Of Phagocytosis (GO:0050766),GO_Positive Regulation Of Phagocytosis (GO:0050766),60,35,0.5833333333333334,0.13891852,0.009156781,-0.24770542543506607,5.20157824010784e-232,5.695728172918085e-230,True,0.24770542543506607
KEGG,Staphylococcus aureus infection,KEGG_Staphylococcus aureus infection,95,48,0.5052631578947369,0.19010314,0.011869349,-0.24749917404058702,1.2917097763310546e-231,1.339978931130794e-229,True,0.24749917404058702
KEGG,Complement and coagulation cascades,KEGG_Complement and coagulation cascades,85,49,0.5764705882352941,0.2009849,0.010632843,-0.24729214450104217,3.2159677148898244e-231,3.169336183023922e-229,True,0.24729214450104217
