pathway,frequency,percentage
Resolution Of Meiotic Recombination Intermediates (GO:0000712),6,100.0
Apoptotic Nuclear Changes (GO:0030262),6,100.0
Nuclear Chromosome Segregation (GO:0098813),6,100.0
Pertussis,6,100.0
Leishmaniasis,6,100.0
Neuron Maturation (GO:0042551),6,100.0
Positive Regulation Of Endocytosis (GO:0045807),6,100.0
Classical Antibody-Mediated Complement Activation R-HSA-173623,6,100.0
Neuron Remodeling (GO:0016322),6,100.0
Creation Of C4 And C2 Activators R-HSA-166786,6,100.0
Chagas disease,6,100.0
Endocytosis (GO:0006897),4,66.66666666666666
Phagosome,4,66.66666666666666
Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),4,66.66666666666666
Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),4,66.66666666666666
Positive Regulation Of Phagocytosis (GO:0050766),4,66.66666666666666
Synapse Pruning (GO:0098883),4,66.66666666666666
Biosynthesis of unsaturated fatty acids,3,50.0
Regulation Of Cellular Biosynthetic Process (GO:0031326),3,50.0
Osteoclast differentiation,2,33.33333333333333
Complement and coagulation cascades,2,33.33333333333333
Positive Regulation Of Glucose Transmembrane Transport (GO:0010828),2,33.33333333333333
Regulation Of Receptor-Mediated Endocytosis (GO:0048259),2,33.33333333333333
Malaria,1,16.666666666666664
Hemopoiesis (GO:0030097),1,16.666666666666664
Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),1,16.666666666666664
Integrin Cell Surface Interactions R-HSA-216083,1,16.666666666666664
Positive Regulation Of Vasculature Development (GO:1904018),1,16.666666666666664
Positive Regulation Of Angiogenesis (GO:0045766),1,16.666666666666664
Regulation Of Cell Motility (GO:2000145),1,16.666666666666664
Unsaturated Fatty Acid Biosynthetic Process (GO:0006636),1,16.666666666666664
Staphylococcus aureus infection,1,16.666666666666664
Th1 and Th2 cell differentiation,1,16.666666666666664
Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424,1,16.666666666666664
Visual System Development (GO:0150063),1,16.666666666666664
Neutrophil extracellular trap formation,1,16.666666666666664
RAC1 GTPase Cycle R-HSA-9013149,1,16.666666666666664
Platelet Degranulation R-HSA-114608,1,16.666666666666664
Regulation Of Tumor Necrosis Factor Production (GO:0032680),1,16.666666666666664
